,Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
19251,2019-04-05,1.85,1.93,1.97,2.0,1.879,1.934,2.093,2.296,2.362,2.546,2.7108521461486816,1.9875962734222412,-1.4108651876449585,36.954402923583984
19252,2019-04-05,1.85,1.93,1.97,2.0,1.879,1.934,2.093,2.296,2.362,2.546,2.950889825820923,1.9626446962356567,-1.4018064737319946,61.33673095703125
19253,2019-04-05,1.85,1.93,1.97,2.0,1.879,1.934,2.093,2.296,2.362,2.546,3.5141968727111816,1.929439663887024,-1.3572018146514893,138.3009490966797
19254,2019-04-06,1.857,1.951,-256.0,2.0,1.879,1.934,2.095,2.295,2.362,2.546,2.692563772201538,1.988038420677185,-1.401908040046692,35.177921295166016
19255,2019-04-06,1.857,1.951,-256.0,2.0,1.879,1.934,2.095,2.295,2.362,2.546,2.99257230758667,1.9565917253494263,-1.402843952178955,66.51432800292969
19256,2019-04-06,1.857,1.951,-256.0,2.0,1.879,1.934,2.095,2.295,2.362,2.546,3.529698610305786,1.9237877130508423,-1.3656108379364014,140.9873046875
19257,2019-04-07,-256.0,-256.0,-256.0,-256.0,1.876,1.934,2.093,2.296,-256.0,-256.0,2.713665723800659,1.990235447883606,-1.412459373474121,37.5656852722168
19258,2019-04-07,-256.0,-256.0,-256.0,-256.0,1.876,1.934,2.093,2.296,-256.0,-256.0,2.9658515453338623,1.9560325145721436,-1.4085782766342163,63.139923095703125
19259,2019-04-07,-256.0,-256.0,-256.0,-256.0,1.876,1.934,2.093,2.296,-256.0,-256.0,3.5058252811431885,1.9243437051773071,-1.4702956676483154,131.2477264404297
19260,2019-04-08,1.85,1.93,1.97,2.0,1.869,1.928,2.086,2.293,2.356,2.5380000000000003,2.7114202976226807,1.9800668954849243,-1.4031327962875366,36.98501968383789
19261,2019-04-08,1.85,1.93,1.97,2.0,1.869,1.928,2.086,2.293,2.356,2.5380000000000003,3.041576385498047,1.9395434856414795,-1.38297700881958,71.69258880615234
19262,2019-04-08,1.85,1.93,1.97,2.0,1.869,1.928,2.086,2.293,2.356,2.5380000000000003,3.505744457244873,1.9166145324707031,-1.4090101718902588,133.024169921875
19263,2019-04-09,1.9,1.95,1.98,2.0,1.859,1.923,2.083,2.289,2.356,2.536,2.733823537826538,1.977216362953186,-1.3950995206832886,38.856414794921875
19264,2019-04-09,1.9,1.95,1.98,2.0,1.859,1.923,2.083,2.289,2.356,2.536,3.030191421508789,1.934320092201233,-1.3702995777130127,70.52124786376953
19265,2019-04-09,1.9,1.95,1.98,2.0,1.859,1.923,2.083,2.289,2.356,2.536,3.5094144344329834,1.9182595014572144,-1.3368266820907593,137.43368530273438
19266,2019-04-10,1.9,1.95,1.98,2.0,1.871,1.923,2.083,2.289,2.352,2.541,2.733150005340576,1.9716269969940186,-1.3923040628433228,37.791358947753906
19267,2019-04-10,1.9,1.95,1.98,2.0,1.871,1.923,2.083,2.289,2.352,2.541,3.0635790824890137,1.94011390209198,-1.3550999164581299,74.072998046875
19268,2019-04-10,1.9,1.95,1.98,2.0,1.871,1.923,2.083,2.289,2.352,2.541,3.493891477584839,1.9162790775299072,-1.3298842906951904,133.59622192382812
19269,2019-04-11,1.93,1.96,1.959,2.0,1.847,1.903,2.075,2.273,2.338,2.539,2.7464213371276855,1.971681833267212,-1.4011895656585693,38.7254753112793
19270,2019-04-11,1.93,1.96,1.959,2.0,1.847,1.903,2.075,2.273,2.338,2.539,3.0288960933685303,1.9396252632141113,-1.3603250980377197,68.14468383789062
19271,2019-04-11,1.93,1.96,1.959,2.0,1.847,1.903,2.075,2.273,2.338,2.539,3.487839460372925,1.9194982051849365,-1.34347665309906,131.08056640625
19272,2019-04-12,1.93,1.95,-256.0,1.99,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,2.7548468112945557,1.9720948934555054,-1.3985240459442139,38.855079650878906
19273,2019-04-12,1.93,1.95,-256.0,1.99,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,3.025749444961548,1.9366343021392822,-1.354658842086792,68.60667419433594
19274,2019-04-12,1.93,1.95,-256.0,1.99,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,3.484473705291748,1.9130442142486572,-1.3043487071990967,132.04051208496094
19275,2019-04-13,-256.0,-256.0,-256.0,-256.0,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,2.738067388534546,1.9727370738983154,-1.3976755142211914,37.032691955566406
19276,2019-04-13,-256.0,-256.0,-256.0,-256.0,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,2.965131998062134,1.941881775856018,-1.357744812965393,60.646331787109375
19277,2019-04-13,-256.0,-256.0,-256.0,-256.0,1.868,1.932,2.0980000000000003,2.3,2.352,2.557,3.4965970516204834,1.912287950515747,-1.2986584901809692,133.96884155273438
19278,2019-04-15,1.88,1.93,1.96,1.99,1.88,1.962,2.135,2.333,2.385,2.577,2.737189769744873,1.9731576442718506,-1.3807380199432373,36.85088348388672
19279,2019-04-15,1.88,1.93,1.96,1.99,1.88,1.962,2.135,2.333,2.385,2.577,3.006312370300293,1.937235951423645,-1.3267295360565186,66.18328857421875
19280,2019-04-15,1.88,1.93,1.96,1.99,1.88,1.962,2.135,2.333,2.385,2.577,3.513782262802124,1.9106767177581787,-1.2569518089294434,139.7876739501953
19281,2019-04-16,1.88,1.95,1.98,1.99,1.87,1.967,2.136,2.3280000000000003,2.382,2.573,2.7339789867401123,1.9807223081588745,-1.3829158544540405,36.35570526123047
19282,2019-04-16,1.88,1.95,1.98,1.99,1.87,1.967,2.136,2.3280000000000003,2.382,2.573,3.0055575370788574,1.9437177181243896,-1.3221746683120728,65.58798217773438
19283,2019-04-16,1.88,1.95,1.98,1.99,1.87,1.967,2.136,2.3280000000000003,2.382,2.573,3.5235118865966797,1.9095172882080078,-1.232279896736145,142.0948944091797
19284,2019-04-17,1.88,1.95,1.98,2.0,1.882,2.0,2.181,2.361,2.42,2.62,2.7486772537231445,1.9696495532989502,-1.376723289489746,36.54436492919922
19285,2019-04-17,1.88,1.95,1.98,2.0,1.882,2.0,2.181,2.361,2.42,2.62,3.042597532272339,1.9374403953552246,-1.2969356775283813,69.6495361328125
19286,2019-04-17,1.88,1.95,1.98,2.0,1.882,2.0,2.181,2.361,2.42,2.62,3.4882612228393555,1.9112604856491089,-1.1778329610824585,138.87045288085938
19287,2019-04-18,1.88,1.95,1.98,2.0,1.856,1.967,2.135,2.3280000000000003,2.382,2.597,2.748169183731079,1.9737021923065186,-1.369329810142517,36.34767532348633
19288,2019-04-18,1.88,1.95,1.98,2.0,1.856,1.967,2.135,2.3280000000000003,2.382,2.597,3.0412778854370117,1.935559630393982,-1.2771499156951904,69.66693115234375
19289,2019-04-18,1.88,1.95,1.98,2.0,1.856,1.967,2.135,2.3280000000000003,2.382,2.597,3.468341588973999,1.9194921255111694,-1.1309605836868286,137.8736572265625
19290,2019-04-19,1.857,1.941,-256.0,2.0,1.871,1.984,2.15,2.344,2.392,2.595,2.749850273132324,1.9699856042861938,-1.35433828830719,36.40574645996094
19291,2019-04-19,1.857,1.941,-256.0,2.0,1.871,1.984,2.15,2.344,2.392,2.595,3.076655149459839,1.9281902313232422,-1.2335673570632935,75.83329010009766
19292,2019-04-19,1.857,1.941,-256.0,2.0,1.871,1.984,2.15,2.344,2.392,2.595,3.4248294830322266,1.9153467416763306,-1.1109284162521362,130.70066833496094
19293,2019-04-20,1.857,1.941,-256.0,2.0,1.856,1.967,2.135,2.3280000000000003,2.374,2.595,2.744873046875,1.9744936227798462,-1.3228888511657715,35.95399475097656
19294,2019-04-20,1.857,1.941,-256.0,2.0,1.856,1.967,2.135,2.3280000000000003,2.374,2.595,3.0434775352478027,1.929291844367981,-1.205700159072876,71.03691864013672
19295,2019-04-20,1.857,1.941,-256.0,2.0,1.856,1.967,2.135,2.3280000000000003,2.374,2.595,3.4437432289123535,1.9060189723968506,-1.0120627880096436,141.633544921875
19296,2019-04-21,-256.0,-256.0,-256.0,-256.0,1.868,1.984,2.15,2.344,2.374,-256.0,2.7623679637908936,1.9716192483901978,-1.3003191947937012,36.970699310302734
